UID          PID    PPID  C STIME TTY          TIME CMD
muhammad   10458   10201  0 20:50 ?        00:00:08 /opt/google/chrome/chrome --type=renderer --crashpad-handler-pid=10185 --enable-crash-reporter=4616b1ac-9551-49f8-9989-47e0625676ab, --extension-process --change-stack-guard-on-fork=enable --lang=en-US --num-raster-threads=2 --enable-main-frame-before-activation --renderer-client-id=7 --time-ticks-at-unix-epoch=-1686768276904141 --launch-time-ticks=360863514 --shared-files=v8_context_snapshot_data:100 --field-trial-handle=0,i,9277998271093006538,9072434835498019239,262144
muhammad   10477   10201  0 20:50 ?        00:00:00 /opt/google/chrome/chrome --type=renderer --crashpad-handler-pid=10185 --enable-crash-reporter=4616b1ac-9551-49f8-9989-47e0625676ab, --extension-process --change-stack-guard-on-fork=enable --lang=en-US --num-raster-threads=2 --enable-main-frame-before-activation --renderer-client-id=8 --time-ticks-at-unix-epoch=-1686768276904141 --launch-time-ticks=361307031 --shared-files=v8_context_snapshot_data:100 --field-trial-handle=0,i,9277998271093006538,9072434835498019239,262144
muhammad   10495   10201  0 20:50 ?        00:00:02 /opt/google/chrome/chrome --type=renderer --crashpad-handler-pid=10185 --enable-crash-reporter=4616b1ac-9551-49f8-9989-47e0625676ab, --extension-process --change-stack-guard-on-fork=enable --lang=en-US --num-raster-threads=2 --enable-main-frame-before-activation --renderer-client-id=9 --time-ticks-at-unix-epoch=-1686768276904141 --launch-time-ticks=361418134 --shared-files=v8_context_snapshot_data:100 --field-trial-handle=0,i,9277998271093006538,9072434835498019239,262144
muhammad   10854   10201  2 20:50 ?        00:00:43 /opt/google/chrome/chrome --type=renderer --crashpad-handler-pid=10185 --enable-crash-reporter=4616b1ac-9551-49f8-9989-47e0625676ab, --change-stack-guard-on-fork=enable --lang=en-US --num-raster-threads=2 --enable-main-frame-before-activation --renderer-client-id=25 --time-ticks-at-unix-epoch=-1686768276904141 --launch-time-ticks=373529796 --shared-files=v8_context_snapshot_data:100 --field-trial-handle=0,i,9277998271093006538,9072434835498019239,262144
muhammad   10991    6223  4 20:51 ?        00:01:26 /usr/lib/firefox/firefox-bin -contentproc -childID 13 -isForBrowser -prefsLen 32115 -prefMapSize 227197 -jsInitLen 246772 -parentBuildID 20221215175817 -appDir /usr/lib/firefox/browser {4a5d9889-6a06-4b7c-a50f-4fed1344434d} 6223 true tab
muhammad   13196    6223  0 20:57 ?        00:00:01 /usr/lib/firefox/firefox-bin -contentproc -childID 18 -isForBrowser -prefsLen 32115 -prefMapSize 227197 -jsInitLen 246772 -parentBuildID 20221215175817 -appDir /usr/lib/firefox/browser {724095e5-7348-433f-9653-0a14eb8c86bc} 6223 true tab
muhammad   13287    6223  8 20:57 ?        00:02:17 /usr/lib/firefox/firefox-bin -contentproc -childID 21 -isForBrowser -prefsLen 32115 -prefMapSize 227197 -jsInitLen 246772 -parentBuildID 20221215175817 -appDir /usr/lib/firefox/browser {c37f2e1b-777a-45c3-9a35-2313ad5b1ba1} 6223 true tab
muhammad   15700    6223  0 20:58 ?        00:00:01 /usr/lib/firefox/firefox-bin -contentproc -childID 25 -isForBrowser -prefsLen 32115 -prefMapSize 227197 -jsInitLen 246772 -parentBuildID 20221215175817 -appDir /usr/lib/firefox/browser {bffc0ac0-2835-4e19-83d0-8124fbb02bc5} 6223 true tab
muhammad   24003    9891  0 21:04 pts/1    00:00:00 bash
muhammad   26121   10201  0 21:06 ?        00:00:06 /opt/google/chrome/chrome --type=renderer --crashpad-handler-pid=10185 --enable-crash-reporter=4616b1ac-9551-49f8-9989-47e0625676ab, --change-stack-guard-on-fork=enable --lang=en-US --num-raster-threads=2 --enable-main-frame-before-activation --renderer-client-id=102 --time-ticks-at-unix-epoch=-1686768276904141 --launch-time-ticks=1331467729 --shared-files=v8_context_snapshot_data:100 --field-trial-handle=0,i,9277998271093006538,9072434835498019239,262144
muhammad   26152   10201  0 21:06 ?        00:00:02 /opt/google/chrome/chrome --type=renderer --crashpad-handler-pid=10185 --enable-crash-reporter=4616b1ac-9551-49f8-9989-47e0625676ab, --change-stack-guard-on-fork=enable --lang=en-US --num-raster-threads=2 --enable-main-frame-before-activation --renderer-client-id=105 --time-ticks-at-unix-epoch=-1686768276904141 --launch-time-ticks=1335368629 --shared-files=v8_context_snapshot_data:100 --field-trial-handle=0,i,9277998271093006538,9072434835498019239,262144
muhammad   26161   10201  0 21:06 ?        00:00:01 /opt/google/chrome/chrome --type=renderer --crashpad-handler-pid=10185 --enable-crash-reporter=4616b1ac-9551-49f8-9989-47e0625676ab, --change-stack-guard-on-fork=enable --lang=en-US --num-raster-threads=2 --enable-main-frame-before-activation --renderer-client-id=106 --time-ticks-at-unix-epoch=-1686768276904141 --launch-time-ticks=1335387315 --shared-files=v8_context_snapshot_data:100 --field-trial-handle=0,i,9277998271093006538,9072434835498019239,262144
muhammad   26178   10201  0 21:06 ?        00:00:00 /opt/google/chrome/chrome --type=renderer --crashpad-handler-pid=10185 --enable-crash-reporter=4616b1ac-9551-49f8-9989-47e0625676ab, --change-stack-guard-on-fork=enable --lang=en-US --num-raster-threads=2 --enable-main-frame-before-activation --renderer-client-id=107 --time-ticks-at-unix-epoch=-1686768276904141 --launch-time-ticks=1339400664 --shared-files=v8_context_snapshot_data:100 --field-trial-handle=0,i,9277998271093006538,9072434835498019239,262144
muhammad   26188   10201  0 21:06 ?        00:00:00 /opt/google/chrome/chrome --type=renderer --crashpad-handler-pid=10185 --enable-crash-reporter=4616b1ac-9551-49f8-9989-47e0625676ab, --change-stack-guard-on-fork=enable --lang=en-US --num-raster-threads=2 --enable-main-frame-before-activation --renderer-client-id=108 --time-ticks-at-unix-epoch=-1686768276904141 --launch-time-ticks=1341545239 --shared-files=v8_context_snapshot_data:100 --field-trial-handle=0,i,9277998271093006538,9072434835498019239,262144
muhammad   39400    6223  0 21:18 ?        00:00:00 /usr/lib/firefox/firefox-bin -contentproc -childID 41 -isForBrowser -prefsLen 32115 -prefMapSize 227197 -jsInitLen 246772 -parentBuildID 20221215175817 -appDir /usr/lib/firefox/browser {9bf7952c-48be-41eb-a2d3-c0ca79133ef7} 6223 true tab
muhammad   39665    6223  0 21:18 ?        00:00:00 /usr/lib/firefox/firefox-bin -contentproc -childID 42 -isForBrowser -prefsLen 32115 -prefMapSize 227197 -jsInitLen 246772 -parentBuildID 20221215175817 -appDir /usr/lib/firefox/browser {fb1add4c-21b1-47d0-988b-5faff47569d3} 6223 true tab
muhammad   40432       1  0 21:19 ?        00:00:00 gnome-screenshot
muhammad   40451    2731  0 21:19 ?        00:00:00 /usr/libexec/gvfsd-network --spawner :1.8 /org/gtk/gvfs/exec_spaw/1
muhammad   40470    2731  0 21:19 ?        00:00:00 /usr/libexec/gvfsd-dnssd --spawner :1.8 /org/gtk/gvfs/exec_spaw/3
muhammad   41822    6223  0 21:20 ?        00:00:00 /usr/lib/firefox/firefox-bin -contentproc -childID 43 -isForBrowser -prefsLen 32115 -prefMapSize 227197 -jsInitLen 246772 -parentBuildID 20221215175817 -appDir /usr/lib/firefox/browser {6e1f921b-dac7-455d-b05e-72ee075fd3f2} 6223 true tab
muhammad   44194   10201  0 21:22 ?        00:00:00 /opt/google/chrome/chrome --type=renderer --crashpad-handler-pid=10185 --enable-crash-reporter=4616b1ac-9551-49f8-9989-47e0625676ab, --change-stack-guard-on-fork=enable --lang=en-US --num-raster-threads=2 --enable-main-frame-before-activation --renderer-client-id=184 --time-ticks-at-unix-epoch=-1686768276904141 --launch-time-ticks=2280028828 --shared-files=v8_context_snapshot_data:100 --field-trial-handle=0,i,9277998271093006538,9072434835498019239,262144
muhammad   44904   44882  0 21:23 ?        00:00:00 /bin/bash /usr/local/bin/docker-entrypoint.sh node current/index.js
muhammad   44976   44904  8 21:23 ?        00:00:00 node /var/lib/ghost/current/node_modules/knex-migrator/bin/knex-migrator-migrate --init --mgpath /var/lib/ghost/current
muhammad   45000   24003  0 21:23 pts/1    00:00:00 /bin/bash ./bash.sh
muhammad   45001   45000  0 21:23 pts/1    00:00:00 ps -f -u muhammad
